"Step","Name: simclr_ict_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: ict_acc_metric_3 - Task_losses/Task0/metrics/supervised/accuracy","Name: sup_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: sup_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_accmetr - Task_losses/Task0/metrics/supervised/accuracy"
"1246800","undefined","0.359499990940094","undefined","0.3334999978542328","undefined","0.3409999907016754","undefined","0.351500004529953","0.40450000762939453","undefined"
"1249800","0.3630000054836273","undefined","0.3125","undefined","0.3580000102519989","undefined","0.3619999885559082","undefined","undefined","0.3790000081062317"
"2493600","0.20399999618530273","undefined","undefined","undefined","0.3564999997615814","undefined","0.3555000126361847","undefined","undefined","0.24549999833106995"
"2499600","undefined","0.11400000005960464","0.09600000083446503","0.34299999475479126","undefined","0.3490000069141388","undefined","0.24449999630451202","0.4009999930858612","undefined"
"3740400","0.12449999898672104","undefined","undefined","undefined","0.3684999942779541","undefined","0.3544999957084656","undefined","undefined","0.1770000010728836"
"3746400","undefined","0.051500000059604645","undefined","0.3400000035762787","undefined","0.3440000116825104","undefined","0.22050000727176666","0.414000004529953","undefined"
"3752400","undefined","undefined","0.0625","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"4984200","0.10450000315904617","undefined","undefined","undefined","0.35100001096725464","undefined","0.3395000100135803","undefined","undefined","0.15299999713897705"
"4999200","undefined","0.050999999046325684","0.05649999901652336","0.33649998903274536","undefined","0.3305000066757202","undefined","0.16050000488758087","0.3894999921321869","undefined"
"6228000","0.1120000034570694","undefined","undefined","undefined","0.35850000381469727","undefined","0.35199999809265137","undefined","undefined","0.1535000056028366"
"6249000","undefined","0.050999999046325684","undefined","0.3425000011920929","undefined","0.35249999165534973","undefined","0.16699999570846558","0.41350001096725464","undefined"
"6252000","undefined","undefined","0.06300000101327896","undefined","undefined","undefined","undefined","undefined","undefined","undefined"