"Step","Name: ict_acc_metric_3 - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ict_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: sup_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: sup_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy"
"1246800","undefined","0.4000000059604645","undefined","0.34950000047683716","undefined","undefined","undefined","0.38600000739097595","undefined","undefined"
"1249800","0.3605000078678131","undefined","0.3305000066757202","undefined","0.3395000100135803","0.34850001335144043","0.33550000190734863","undefined","0.38100001215934753","0.39149999618530273"
"2493600","0.2552500069141388","undefined","0.3240000009536743","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2499600","undefined","0.3192499876022339","undefined","0.21449999511241913","0.3557499945163727","0.335999995470047","0.3330000042915344","0.3867500126361847","0.34424999356269836","0.3894999921321869"
"3740400","0.24016666412353516","undefined","0.3063333332538605","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3746400","undefined","0.25033333897590637","undefined","0.18133333325386047","undefined","undefined","undefined","0.3774999976158142","undefined","undefined"
"3752400","undefined","undefined","undefined","undefined","0.3463333249092102","0.32716667652130127","0.29483333230018616","undefined","0.2775000035762787","0.3684999942779541"
"4984200","0.19075000286102295","undefined","0.29600000381469727","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"4999200","undefined","0.24037499725818634","undefined","0.17624999582767487","0.3230000138282776","0.31474998593330383","0.2847500145435333","0.3686249852180481","0.2541249990463257","0.36387500166893005"
"6228000","0.18119999766349792","undefined","0.2978000044822693","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"6249000","undefined","0.21480000019073486","undefined","0.14900000393390656","undefined","undefined","undefined","0.376800000667572","undefined","undefined"
"6252000","undefined","undefined","undefined","undefined","0.3357999920845032","0.3181000053882599","0.29409998655319214","undefined","0.24879999458789825","0.3693999946117401"